100 600
38 63 4
20 63 542
7 8 348
32 84 884
64 42 680
46 57 894
52 74 364
73 19 23
82 89 145
33 9 131
64 6 533
56 24 253
17 94 18
10 37 707
62 80 102
30 1 305
15 4 867
29 70 200
73 30 482
2 94 835
91 96 505
88 65 710
94 31 753
4 84 587
82 63 867
0 81 259
36 1 866
86 50 453
34 14 951
57 17 939
5 82 69
4 68 587
66 4 891
8 70 415
21 45 639
51 33 851
85 68 816
95 11 25
10 28 646
78 60 126
37 11 786
40 73 197
74 38 172
12 31 458
13 22 251
62 27 806
54 12 704
86 90 374
88 35 150
17 73 347
57 96 223
96 99 624
45 93 184
41 29 341
41 74 233
58 72 748
22 70 441
63 34 119
62 42 600
34 35 10
48 51 345
96 98 938
23 15 643
1 82 12
94 35 406
31 73 387
86 23 176
56 42 772
11 43 970
